,pol count,pol average,Adm1Code,quarter,year
334,18,1.6363636363636365,IR39,2,2016
335,35,4.375,IR39,3,2016
336,25,2.0833333333333335,IR39,4,2016
337,34,3.090909090909091,IR39,2,2017
338,22,3.6666666666666665,IR39,3,2017
339,2,2.0,IR39,4,2017
340,22,4.4,IR40,1,2015
341,22,2.2,IR40,2,2015
342,29,1.9333333333333333,IR40,3,2015
343,35,1.8421052631578947,IR40,4,2015
344,22,1.6923076923076923,IR40,1,2016
345,26,1.625,IR40,2,2016
346,11,1.0,IR40,3,2016
347,37,2.0555555555555554,IR40,4,2016
348,25,1.4705882352941178,IR40,1,2017
349,22,2.2,IR40,2,2017
350,17,2.125,IR40,3,2017
351,9,3.0,IR40,4,2017
352,3,1.5,IR41,1,2015
353,22,2.75,IR41,2,2015
354,5,1.6666666666666667,IR41,3,2015
355,14,2.3333333333333335,IR41,4,2015
356,20,2.0,IR41,1,2016
357,4,1.0,IR41,2,2016
358,20,1.25,IR41,3,2016
359,29,1.9333333333333333,IR41,4,2016
360,9,1.5,IR41,1,2017
361,18,1.8,IR41,2,2017
362,16,1.6,IR41,3,2017
363,12,1.2,IR42,1,2015
364,71,2.730769230769231,IR42,2,2015
365,81,2.53125,IR42,3,2015
366,74,2.8461538461538463,IR42,4,2015
367,73,2.1470588235294117,IR42,1,2016
368,65,1.911764705882353,IR42,2,2016
369,54,2.076923076923077,IR42,3,2016
370,42,2.1,IR42,4,2016
371,26,1.625,IR42,1,2017
372,21,1.2352941176470589,IR42,2,2017
373,37,1.608695652173913,IR42,3,2017
374,2,1.0,IR42,4,2017
375,1,1.0,IR43,1,2015
376,3,1.5,IR43,2,2015
377,13,2.6,IR43,3,2015
378,3,1.5,IR43,4,2015
379,3,1.0,IR43,1,2016
380,16,2.0,IR43,2,2016
381,5,1.25,IR43,3,2016
382,9,1.5,IR43,4,2016
383,3,1.0,IR43,1,2017
384,20,1.6666666666666667,IR43,2,2017
385,14,2.3333333333333335,IR43,3,2017
386,15,2.5,IR44,1,2015
387,42,1.9090909090909092,IR44,2,2015
388,23,2.3,IR44,3,2015
389,27,2.4545454545454546,IR44,4,2015
390,7,1.4,IR44,1,2016
391,24,2.0,IR44,2,2016
392,44,2.4444444444444446,IR44,3,2016
393,15,2.142857142857143,IR44,4,2016
394,8,1.3333333333333333,IR44,1,2017
395,29,2.9,IR44,2,2017
396,6,3.0,IR44,3,2017
