,esg count,esg average,Adm1Code,quarter,year
320,3,1.5,IR42,4,2015
321,5,1.25,IR42,1,2016
322,9,3.0,IR42,2,2016
323,8,1.3333333333333333,IR42,3,2016
324,4,1.3333333333333333,IR42,4,2016
325,7,1.75,IR42,1,2017
326,1,1.0,IR42,3,2017
327,2,2.0,IR42,4,2017
328,1,1.0,IR43,1,2015
329,3,1.5,IR43,2,2015
330,2,1.0,IR43,3,2015
331,2,1.0,IR43,4,2015
332,2,2.0,IR43,2,2016
333,2,2.0,IR43,1,2017
334,3,1.0,IR43,2,2017
335,1,1.0,IR44,3,2015
336,3,1.5,IR44,4,2015
337,2,1.0,IR44,1,2016
338,4,2.0,IR44,3,2016
339,3,1.5,IR44,4,2016
340,1,1.0,IR44,2,2017
